rank,ticker,name,close_price,fair_value,upside_pct,star_rating,moat,uncertainty,sector,industry
176,EPAM,EPAM Systems Inc,100.44,136,35.4,,None,,Technology,Information Technology Services
177,W,Wayfair Inc Class A,59.26,80,35.0,,None,,Consumer Cyclical,Internet Retail
178,TECH,Bio-Techne Corp,44.43,60,35.0,,Narrow,,Healthcare,Biotechnology
179,M,Macy's Inc,18.52,25,35.0,,None,,Consumer Cyclical,Department Stores
180,PEB,Pebblebrook Hotel Trust,14.44,19.5,35.0,,None,,Real Estate,REIT - Hotel & Motel
181,PAYP,PayPay Corp ADR - Sponsor,19.3,26,34.7,,Narrow,,Technology,Software - Infrastructure
182,AYI,Acuity Inc,282.56,380,34.5,4,Narrow,,Industrials,Electrical Equipment & Parts
183,MGA,Magna International Inc,59.59,80,34.3,,None,,Consumer Cyclical,Auto Parts
184,ANET,Arista Networks Inc,141.71,190,34.1,,Wide,,Technology,Computer Hardware
185,SSNC,SS&C Technologies Holdings Inc,67.22,90,33.9,,None,,Technology,Software - Application
186,BIRK,Birkenstock Holding PLC,32.12,43,33.9,,Narrow,,Consumer Cyclical,Footwear & Accessories
187,KVUE,Kenvue Inc,17.18,23,33.9,,Wide,,Consumer Defensive,Household & Personal Products
188,COR,Cencora Inc,261.87,350,33.7,,Narrow,,Healthcare,Medical Distribution
189,GIB,CGI Inc Class A,65.08,87,33.7,,Narrow,,Technology,Information Technology Services
190,DOC,Healthpeak Properties Inc,19.49,26,33.4,,None,,Real Estate,REIT - Healthcare Facilities
191,MDLN,Medline Inc Ordinary Shares - Class A,36.02,48,33.3,,Narrow,,Healthcare,Medical Instruments & Supplies
192,ROP,Roper Technologies Inc,331.01,440,32.9,,None,,Technology,Software - Application
193,ESAB,ESAB Corp,88.03,117,32.9,,Narrow,,Industrials,Metal Fabrication
194,XPEV,XPeng Inc ADR,15.06,20,32.8,,None,,Consumer Cyclical,Auto Manufacturers
195,DSGX,The Descartes Systems Group Inc,70.85,94,32.7,,Narrow,,Technology,Software - Application
196,RACE,Ferrari NV,324.77,430,32.4,,Wide,,Consumer Cyclical,Auto Manufacturers
197,ALLE,Allegion PLC,128.47,170,32.3,3,Wide,,Industrials,Security & Protection Services
198,INVH,Invitation Homes Inc,28.75,38,32.2,,None,,Real Estate,REIT - Residential
199,SABR,Sabre Corp,1.59,2.1,32.1,,None,,Technology,Software - Infrastructure
200,RKT,Rocket Companies Inc Ordinary Shares Class A,13.04,17.2,31.9,,Narrow,,Financial Services,Mortgage Finance
201,MRNA,Moderna Inc,48.11,63,30.9,,None,,Healthcare,Biotechnology
202,ABT,Abbott Laboratories,87.91,115,30.8,3,Narrow,,Healthcare,Medical Devices
203,ALC,Alcon Inc,65.97,86,30.4,3,Narrow,,Healthcare,Medical Instruments & Supplies
204,CZR,Caesars Entertainment Inc,27.62,36,30.3,,None,,Consumer Cyclical,Resorts & Casinos
205,CCI,Crown Castle Inc,89.92,117,30.1,,Narrow,,Real Estate,REIT - Specialty
206,BBIO,BridgeBio Pharma Inc,65.32,85,30.1,,None,,Healthcare,Biotechnology
207,CNM,Core & Main Inc Class A,46.13,60,30.1,,Narrow,,Industrials,Industrial Distribution
208,AS,Amer Sports Inc,33.15,43,29.7,3,Narrow,,Consumer Cyclical,Leisure
209,SAH,Sonic Automotive Inc Class A,74.06,96,29.6,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
210,J,Jacobs Solutions Inc,113.61,147,29.4,,None,,Industrials,Engineering & Construction
211,PNR,Pentair PLC,73.41,95,29.4,,Narrow,,Industrials,Specialty Industrial Machinery
212,MGM,MGM Resorts International,37.09,48,29.4,,None,,Consumer Cyclical,Resorts & Casinos
213,PCG,PG&E Corp,15.85,20.5,29.3,,None,,Utilities,Utilities - Regulated Electric
214,BSY,Bentley Systems Inc Ordinary Shares - Class B,33.31,43,29.1,,Wide,,Technology,Software - Application
215,PAG,Penske Automotive Group Inc,159.75,206,29.0,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
216,AN,AutoNation Inc,181.94,234,28.6,,Narrow,,Consumer Cyclical,Auto & Truck Dealerships
217,CPRT,Copart Inc,33.44,43,28.6,,Wide,,Industrials,Specialty Business Services
218,IP,International Paper Co,30.4,39,28.3,,None,,Consumer Cyclical,Packaging & Containers
219,LYB,LyondellBasell Industries NV Class A,74.13,95,28.2,,Narrow,,Basic Materials,Specialty Chemicals
220,BAC,Bank of America Corp,50.69,65,28.2,,Wide,,Financial Services,Banks - Diversified
221,RVTY,Revvity Inc,95.48,122,27.8,,None,,Healthcare,Diagnostics & Research
222,TAP,Molson Coors Beverage Co Shs -B- Non-Voting,41.68,53,27.2,,None,,Consumer Defensive,Beverages - Brewers
223,BZ,Kanzhun Ltd ADR,14.16,18,27.1,,None,,Communication Services,Internet Content & Information
224,SPGI,S&P Global Inc,417.41,530,27.0,,Wide,,Financial Services,Financial Data & Stock Exchanges
225,ZBRA,Zebra Technologies Corp Ordinary Shares - Class A,260.06,330,26.9,,Narrow,,Technology,Communication Equipment
226,AMT,American Tower Corp,177.28,225,26.9,4,Narrow,,Real Estate,REIT - Specialty
227,HMC,Honda Motor Co Ltd ADR,25.21,32,26.9,,None,,Consumer Cyclical,Auto Manufacturers
228,TMO,Thermo Fisher Scientific Inc,442,560,26.7,,Wide,,Healthcare,Diagnostics & Research
229,ABNB,Airbnb Inc Ordinary Shares - Class A,134.3,170,26.6,4,Wide,,Consumer Cyclical,Travel Services
230,SCHW,Charles Schwab Corp,92.39,117,26.6,,Wide,,Financial Services,Capital Markets
231,TM,Toyota Motor Corp ADR,187.37,237,26.5,,None,,Consumer Cyclical,Auto Manufacturers
232,OWL,Blue Owl Capital Inc Ordinary Shares - Class A,9.49,12,26.4,,Narrow,,Financial Services,Asset Management
233,PFE,Pfizer Inc,25.33,32,26.3,,Narrow,,Healthcare,Drug Manufacturers - General
234,AJG,Arthur J. Gallagher & Co,207.15,261,26.0,,Narrow,,Financial Services,Insurance Brokers
235,DASH,DoorDash Inc Ordinary Shares - Class A,162.67,205,26.0,,Narrow,,Consumer Cyclical,Internet Retail
236,ONON,On Holding AG,38.1,48,26.0,,Narrow,,Consumer Cyclical,Footwear & Accessories
237,TMUS,T-Mobile US Inc,190.65,240,25.9,,Narrow,,Communication Services,Telecom Services
238,SLG,SL Green Realty Corp,42.93,54,25.8,,None,,Real Estate,REIT - Office
239,MICC,The Magnum Ice Cream Co NV,15.74,19.8,25.8,,Wide,,Consumer Defensive,Packaged Foods
240,RDDT,Reddit Inc Class A Shares,159.11,200,25.7,,Narrow,,Communication Services,Internet Content & Information
241,ELS,Equity Lifestyle Properties Inc,62.12,78,25.6,,None,,Real Estate,REIT - Residential
242,AGCO,AGCO Corp,113.17,142,25.5,4,None,,Industrials,Farm & Heavy Construction Machinery
243,SNN,Smith & Nephew PLC ADR,30.3,38,25.4,,Narrow,,Healthcare,Medical Devices
244,VRSK,Verisk Analytics Inc,171.52,215,25.3,,Wide,,Industrials,Consulting Services
245,UHS,Universal Health Services Inc Class B,169.27,212,25.2,,Narrow,,Healthcare,Medical Care Facilities
246,TAL,TAL Education Group ADR,10.55,13.2,25.1,,None,,Consumer Defensive,Education & Training Services
247,DLTR,Dollar Tree Inc,91.23,114,25.0,,None,,Consumer Defensive,Discount Stores
248,HAYW,Hayward Holdings Inc,13.61,17,24.9,,Narrow,,Industrials,Electrical Equipment & Parts
249,FDS,FactSet Research Systems Inc,224.35,280,24.8,,None,,Financial Services,Financial Data & Stock Exchanges
250,THC,Tenet Healthcare Corp,192.45,240,24.7,,Narrow,,Healthcare,Medical Care Facilities
251,DOW,Dow Inc,38.56,48,24.5,,Narrow,,Basic Materials,Chemicals
252,NU,Nu Holdings Ltd Ordinary Shares Class A,12.29,15.3,24.5,,Narrow,,Financial Services,Banks - Regional
253,MANH,Manhattan Associates Inc,136.71,170,24.4,,Narrow,,Technology,Software - Application
254,IONS,Ionis Pharmaceuticals Inc,72.52,90,24.1,,Narrow,,Healthcare,Biotechnology
255,MAS,Masco Corp,65.53,81,23.6,,Wide,,Industrials,Building Products & Equipment
256,NWG,NatWest Group PLC ADR,15.29,18.9,23.6,,Narrow,,Financial Services,Banks - Regional
257,CI,The Cigna Group,286.69,354,23.5,,Narrow,,Healthcare,Healthcare Plans
258,WYNN,Wynn Resorts Ltd,95.51,118,23.5,,Narrow,,Consumer Cyclical,Resorts & Casinos
259,SNAP,Snap Inc Class A,5.67,7,23.5,,None,,Communication Services,Internet Content & Information
260,SBAC,SBA Communications Corp Class A,203.34,250,22.9,,Narrow,,Real Estate,REIT - Specialty
261,WH,Wyndham Hotels & Resorts Inc Ordinary Shares,78.14,96,22.9,,Narrow,,Consumer Cyclical,Lodging
262,INTU,Intuit Inc,403.16,495,22.8,,Narrow,,Technology,Software - Application
263,CWK,Cushman & Wakefield Ltd,12.64,15.5,22.6,,None,,Real Estate,Real Estate Services
264,EQR,Equity Residential,65.43,80,22.3,,None,,Real Estate,REIT - Residential
265,UL,Unilever PLC ADR,57.3,70,22.2,,Wide,,Consumer Defensive,Household & Personal Products
266,BMY,Bristol-Myers Squibb Co,57.31,70,22.1,,Wide,,Healthcare,Drug Manufacturers - General
267,NVO,Novo Nordisk AS ADR,44.28,54,22.0,,Wide,,Healthcare,Drug Manufacturers - General
268,SUI,Sun Communities Inc,121.51,148,21.8,,None,,Real Estate,REIT - Residential
269,MDLZ,Mondelez International Inc Class A,61.64,75,21.7,,Wide,,Consumer Defensive,Confectioners
270,RF,Regions Financial Corp,26.97,32.8,21.6,,Narrow,,Financial Services,Banks - Regional
271,O,Realty Income Corp,61.71,75,21.5,,None,,Real Estate,REIT - Retail
272,DXCM,DexCom Inc,65.09,79,21.4,,Narrow,,Healthcare,Medical Devices
273,LMT,Lockheed Martin Corp,528.31,640,21.1,,Wide,,Industrials,Aerospace & Defense
274,SOFI,SoFi Technologies Inc Ordinary Shares,15.71,19,20.9,,None,,Financial Services,Credit Services
275,SKM,SK Telecom Co Ltd ADR,37.01,44.7,20.8,,None,,Communication Services,Telecom Services
276,COLD,Americold Realty Trust Inc,14.49,17.5,20.8,5,None,,Real Estate,REIT - Industrial
277,ECL,Ecolab Inc,249.21,300,20.4,,Wide,,Basic Materials,Specialty Chemicals
